,CaO+MgO,Al2O3,TiO2,Fe2O3*,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Zn,Pb,Cu,As,Cd,Cr,Ni,Sc,V,Co,Ba,Sr,Li,Mo,Rb,Y,Zr,Nb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U,Type de roche
0,0.0001377497963593243,1.2255491368364596e-07,3.2535769686573173e-09,1.4537765268093233e-07,2.7286822861963485e-08,7.006560934286156e-05,9.721783687269696e-05,9.98893474633938e-08,5.2365640157428476e-08,1.4277234698064412e-07,0.00020437263551188498,5.99088099189519e-06,3.054899876170864e-05,1.2539053238850399e-06,1.8468431272211933e-05,9.973108679957994e-07,7.709195694996912e-06,1.0745188215144038e-05,1.0132148334003823e-06,2.4149287719267432e-06,1.9034368495614594e-05,1.5913451788238803e-05,0.0001221814635781167,3.354893355461306e-06,3.285070618381669e-06,1.2573598439689118e-06,6.180111500566977e-06,1.7064246409117574e-06,2.393051752868285e-07,1.1572891371571488e-07,3.3511551610464315e-06,2.756494967253056e-06,6.732462209005509e-07,2.468418784789318e-06,4.5841630083372307e-07,1.1183293116291749e-07,5.631458221836821e-07,7.252389952295017e-08,5.694603860244864e-07,1.398253803832398e-07,4.167575882304054e-07,4.829242907900964e-08,2.1434236849212854e-07,2.7811168078787644e-08,4.2678912279159156e-08,1.6655101261423982e-08,1.0574677871487355e-07,4.473091435095501e-06,R. carbonatées
1,0.00015976980741441962,1.580538542926436e-07,2.0879787448369442e-09,2.2102789626254004e-07,6.69297917627856e-08,6.724740444724519e-05,9.252240296717443e-05,6.51045383597303e-08,6.999726524285648e-08,1.7942172628726002e-08,0.0002534005207814507,1.5795807773589676e-05,3.054899876170864e-05,3.934050237950636e-06,1.8468431272211933e-05,9.973108679957994e-07,1.615344870431246e-05,6.139502644074478e-06,8.505893469023573e-07,5.1679114489442454e-05,1.9034368495614594e-05,4.5304760967526675e-05,0.00017637062498594147,7.792742209847865e-06,3.285070618381669e-06,1.4191421724901547e-06,9.732980034247665e-06,3.488367318186152e-06,5.836078941521151e-07,1.0746048366564443e-07,3.368662913691111e-06,3.520260006640475e-06,6.8289587214928e-07,2.706524802629989e-06,5.20814545627468e-07,1.4956793946141908e-07,7.220473840644397e-07,1.1587252323968794e-07,9.499268137298249e-07,2.538990639019924e-07,8.087432368811496e-07,1.0649246886969992e-07,5.657235168785445e-07,7.94512279978213e-08,5.612329790163369e-08,5.62080497923878e-08,1.9408141086096302e-07,6.787857947543748e-06,R. carbonatées
2,0.00015522334911564713,4.4670024779854094e-07,2.7849691054916622e-08,8.904152225120245e-07,1.368599930705367e-07,6.469465628550173e-05,9.052869283014541e-05,8.222955963072555e-08,5.148229090656458e-08,6.070077713853565e-07,0.0007357601979176848,2.088331798039954e-05,2.3297817064422018e-05,4.413484727816398e-06,1.957541945740029e-05,9.973108679957994e-07,1.044165899019977e-05,1.0745188215144038e-05,6.501816525856352e-07,1.1518118679911085e-05,1.9034368495614594e-05,4.309714013728226e-05,0.00019984474139490588,4.355355904571986e-06,3.285070618381669e-06,1.5200399946804202e-06,1.861097681104505e-05,7.898419842743671e-06,8.412813746787839e-07,1.8446871375919973e-07,8.653345811356769e-06,7.231287874822479e-06,1.9346407290298845e-06,7.87637327475124e-06,1.492990574448514e-06,3.620913980648265e-07,1.6528447740352307e-06,2.3613370239457512e-07,1.724265010839694e-06,4.1667590480788585e-07,1.2894929742428844e-06,1.488808121847388e-07,6.87765903092156e-07,9.465044443777909e-08,1.6375209381527757e-07,3.926433464311619e-08,5.911530395950169e-07,1.3047902072450223e-05,R. carbonatées
3,0.00015222654707287888,1.1614600502714086e-07,1.5114581209150696e-09,1.3521082289356224e-07,3.306282915031711e-08,6.331498203324591e-05,8.891156503963298e-05,8.304963193827647e-08,2.5751034186911526e-08,1.5123001704365165e-07,0.00039662053667238034,1.8440319411346625e-05,3.054899876170864e-05,1.2134578003443615e-05,1.8468431272211933e-05,9.973108679957994e-07,8.372328928140136e-06,1.0745188215144038e-05,1.0132148334003823e-06,1.9606086730454746e-06,1.9034368495614594e-05,1.0945495337953332e-05,0.0001394999565583653,7.792742209847865e-06,3.285070618381669e-06,2.7680774211294884e-07,6.555830526510823e-06,3.1386315799421257e-06,5.401100950093248e-07,6.861734305916935e-08,3.3628381402894118e-06,2.900017319907177e-06,7.47016375138111e-07,2.8983087952740305e-06,5.670866621763244e-07,1.4462480841916138e-07,6.86476154296868e-07,9.359350113127448e-08,6.994959772576171e-07,1.6984579172522813e-07,4.942465609036476e-07,5.5883573590521446e-08,2.561197975346293e-07,3.5282242467912245e-08,5.3334857936749795e-08,5.684137702120888e-08,8.343882310509298e-08,3.81166786948535e-06,R. carbonatées
4,0.0001493946000872063,2.251566182397114e-07,3.2542834012652632e-09,4.305366019579212e-07,4.3174453035965074e-08,4.7002088231723084e-05,8.022119396063429e-05,7.323928035300612e-08,1.677273021587204e-07,2.727985942791996e-07,0.002153562254432175,1.5105872161281723e-05,1.0506106217558595e-05,6.131534825612507e-06,1.8468431272211933e-05,9.973108679957994e-07,1.43812362273457e-05,1.2486034553974562e-05,1.0132148334003823e-06,1.7447003640151956e-05,1.9034368495614594e-05,3.962365027987865e-05,0.000345316893133359,1.3279789607762944e-05,3.285070618381669e-06,7.168020788439871e-06,1.0543685876266595e-05,4.854353332411536e-06,5.583950648671025e-07,3.9447254827701735e-07,3.536111005925167e-05,2.9240815535298965e-05,5.332633178988249e-06,2.4466564677992895e-05,3.780852931091865e-06,1.159115031560036e-06,5.9172172012985765e-06,8.235388099073815e-07,1.1322696310181168e-06,2.683509818879969e-07,8.064161602136622e-07,9.115393695990578e-08,4.484956790110762e-07,6.172207289203217e-08,7.731746541610232e-08,1.811068482687756e-08,1.0620300170654237e-07,3.8530185280744705e-05,R. carbonatées
5,0.00014824125387850897,2.389655461789675e-07,6.200632209015631e-09,4.060068089641262e-07,8.176621680141553e-08,6.120004633951828e-05,8.70412075389907e-05,7.595831334646479e-08,1.1332359689975979e-07,6.555068544044896e-07,0.0009754949324009844,1.153115121253756e-05,3.054899876170864e-05,5.259823360104851e-06,1.8468431272211933e-05,9.973108679957994e-07,9.508142227881847e-06,9.659867901731025e-06,1.0132148334003823e-06,1.5121992160301448e-05,1.9034368495614594e-05,8.137047888531438e-05,0.00018236414492178916,7.792742209847865e-06,3.285070618381669e-06,1.2959197973933717e-06,1.2128874891899444e-05,7.900004559279285e-06,1.2165353174746377e-06,8.66303158254751e-08,5.595241605898733e-06,5.549730428243628e-06,1.1801779384030197e-06,5.395343605993203e-06,1.0174612256572203e-06,2.713453890657328e-07,1.3106530929604954e-06,1.8524972194285041e-07,1.3390264716555895e-06,3.3174286956601215e-07,9.677553656936008e-07,1.1469697597706502e-07,5.681609841098868e-07,7.772285817806537e-08,1.2699787565977922e-07,8.07133885814633e-08,1.8697263833714976e-07,8.123306985669327e-06,R. carbonatées
6,0.00014726413810313017,1.2149008447932292e-07,1.9647669474409616e-09,2.1731273474103855e-07,5.334288734291818e-08,6.147495178272491e-05,8.578918632040526e-05,6.402040902572492e-08,2.3754635878401022e-08,2.807235265459258e-08,0.00031554725924228726,3.9389759125605155e-05,3.054899876170864e-05,5.142857142857143e-06,1.8468431272211933e-05,9.973108679957994e-07,1.1254216893030043e-05,1.0777343295867753e-05,1.0132148334003823e-06,6.437793561690915e-06,1.9034368495614594e-05,8.910860036574551e-06,0.00016584709962110122,7.792742209847865e-06,3.285070618381669e-06,3.774835837300295e-07,4.860951148979448e-06,4.651012807419608e-06,1.335682893514042e-06,4.0762752898119654e-08,2.911497424424496e-06,2.347990714610963e-06,6.15392548605651e-07,2.0047023340799403e-06,3.8340832243298447e-07,9.928935927505419e-08,4.2336333876145254e-07,6.217932829680765e-08,4.6393941508028904e-07,1.2089664954792076e-07,3.6896561642227693e-07,4.4683452611851135e-08,2.1301695587781722e-07,3.1347075720407236e-08,7.488096799231968e-08,1.2064437471884077e-07,1.3488478619249903e-07,4.290538317355141e-06,R. carbonatées
7,0.00014722484648361576,3.889593617207579e-07,1.2995517215750522e-08,7.330098506014038e-07,8.796185821247642e-08,6.153165304927507e-05,8.569319343434068e-05,9.49998488545886e-08,1.4715773935086956e-07,2.2994208459440367e-07,0.002080935596951243,1.7804157562201277e-05,3.054899876170864e-05,6.93047744031996e-06,1.8468431272211933e-05,9.973108679957994e-07,8.483860314874434e-06,6.094040507867551e-06,1.0132148334003823e-06,3.1067657491089477e-06,1.9034368495614594e-05,5.424094355303288e-05,0.00020855160849146727,4.207676073536785e-06,3.285070618381669e-06,2.988466437445478e-06,1.1242504459016592e-05,5.6787322419132945e-06,1.4995592912145535e-06,5.453181359994053e-07,5.767652931586206e-06,6.5739022904485915e-06,1.3257432974842662e-06,5.740458069567449e-06,1.0767759204854502e-06,2.8945504735002083e-07,1.3548642786189485e-06,1.8039950568592856e-07,1.296999240491404e-06,3.172757257824429e-07,8.878199330855985e-07,9.618536910870317e-08,4.318395009389357e-07,5.738776573407382e-08,1.4258998476284685e-07,1.9479503216650818e-07,4.193283922935528e-07,9.710932687146342e-06,R. carbonatées
8,0.00014704351559540418,2.52682122062692e-07,4.064178427380115e-09,1.904651538253771e-07,3.846502262855655e-08,6.06671824877109e-05,8.637633310769327e-05,1.3446505162377762e-07,6.707200749832749e-08,4.516324841842562e-08,0.0001720131190696598,1.288714032245622e-05,3.054899876170864e-05,1.5102117565378384e-06,1.8468431272211933e-05,9.973108679957994e-07,1.2987821106225411e-05,1.0745188215144038e-05,2.9650490820026226e-07,6.795952904420273e-06,1.9034368495614594e-05,1.742079601558281e-05,0.0001978679443415876,3.881747618221091e-06,3.285070618381669e-06,1.123839587982912e-06,8.18469535319116e-06,3.3224549260222945e-06,5.060090176321965e-07,6.064459402135691e-08,4.905558692536015e-06,4.5079232125345655e-06,1.0175787054637026e-06,4.639950221919662e-06,7.730186794811386e-07,1.9014258426496213e-07,9.015357122299867e-07,1.2319080213510425e-07,8.762676228200618e-07,2.1404335773907868e-07,6.483377401490252e-07,7.413746087061876e-08,3.6064475970091223e-07,4.913472650222598e-08,6.238291962878476e-08,5.18038001032082e-08,1.5439012656312453e-07,4.393596844936432e-06,R. carbonatées
9,0.00014653900730509574,1.2928137956206401e-07,1.3761360272362976e-09,6.838629875850859e-07,1.4876641952043913e-07,6.0349010302999306e-05,8.618999700209641e-05,9.004576499053803e-08,8.508361547907611e-08,1.5510759384502452e-07,0.0012837745759215233,1.8657546400652244e-05,3.054899876170864e-05,5.288420181590772e-06,1.8468431272211933e-05,9.973108679957994e-07,8.419164929092509e-06,4.780731844158058e-06,1.0132148334003823e-06,7.361480892774354e-06,1.9034368495614594e-05,1.4350657004764718e-05,0.00016848483624933673,3.5889334720347613e-06,1.6288334159299579e-06,2.026435934207638e-06,1.0576871785091502e-05,1.6012947012598832e-06,1.4666688436822243e-06,1.4049740995754054e-07,4.238603290507076e-06,4.576017905169129e-06,1.0097755248518729e-06,4.382402214455913e-06,7.887405347680078e-07,2.0721080538179089e-07,1.0189998939152443e-06,1.4224031502437196e-07,1.1100818317223847e-06,2.7766925357008474e-07,7.993806788734447e-07,9.179166559610359e-08,4.071196188007992e-07,5.376224341632606e-08,3.45325089179155e-08,1.9510756275897395e-07,8.260210316498254e-08,4.96623309099475e-06,R. carbonatées
10,0.00014650085918920907,5.845578494696307e-08,2.037210489105172e-09,8.493277820642901e-07,1.531773032502063e-07,6.123599148786809e-05,8.526486770134098e-05,5.024257714323311e-08,8.477936737008193e-09,9.57008189180658e-09,0.0009027866388436502,7.207717504240626e-06,1.5224301083957144e-05,4.6049306277092884e-06,1.8468431272211933e-05,9.973108679957994e-07,5.205573753062674e-06,1.0745188215144038e-05,1.0132148334003823e-06,3.8040731272381083e-06,1.9034368495614594e-05,1.2053906453966857e-05,0.00018210498488839059,7.792742209847865e-06,3.285070618381669e-06,1.6159442828612133e-07,7.021232395892722e-06,1.1331495237809082e-06,3.4136416722290096e-07,4.2593239582683364e-08,3.593070137213431e-06,2.769191002729949e-06,7.634911882279936e-07,2.411813957116476e-06,5.067032681139931e-07,1.1411262262795624e-07,5.118680693626846e-07,7.869440680716159e-08,6.272525618534881e-07,1.606418137552692e-07,5.206001582777194e-07,6.615148786104899e-08,3.1397751829400827e-07,4.37939902894023e-08,2.5008000741084857e-08,5.308076797488779e-08,4.185240405186538e-08,6.497513747962826e-06,R. carbonatées
