,CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,Type de roche
0,0.0001377497963593243,1.4537765268093233e-07,7.006560934286156e-05,9.721783687269696e-05,0.00020437263551188498,5.99088099189519e-06,3.054899876170864e-05,1.2539053238850399e-06,R. carbonatées
1,0.00015976980741441962,2.2102789626254004e-07,6.724740444724519e-05,9.252240296717443e-05,0.0002534005207814507,1.5795807773589676e-05,3.054899876170864e-05,3.934050237950636e-06,R. carbonatées
2,0.00015522334911564713,8.904152225120245e-07,6.469465628550173e-05,9.052869283014541e-05,0.0007357601979176848,2.088331798039954e-05,2.3297817064422018e-05,4.413484727816398e-06,R. carbonatées
3,0.00015222654707287888,1.3521082289356224e-07,6.331498203324591e-05,8.891156503963298e-05,0.00039662053667238034,1.8440319411346625e-05,3.054899876170864e-05,1.2134578003443615e-05,R. carbonatées
4,0.0001493946000872063,4.305366019579212e-07,4.7002088231723084e-05,8.022119396063429e-05,0.002153562254432175,1.5105872161281723e-05,1.0506106217558595e-05,6.131534825612507e-06,R. carbonatées
5,0.00014824125387850897,4.060068089641262e-07,6.120004633951828e-05,8.70412075389907e-05,0.0009754949324009844,1.153115121253756e-05,3.054899876170864e-05,5.259823360104851e-06,R. carbonatées
6,0.00014726413810313017,2.1731273474103855e-07,6.147495178272491e-05,8.578918632040526e-05,0.00031554725924228726,3.9389759125605155e-05,3.054899876170864e-05,5.142857142857143e-06,R. carbonatées
7,0.00014722484648361576,7.330098506014038e-07,6.153165304927507e-05,8.569319343434068e-05,0.002080935596951243,1.7804157562201277e-05,3.054899876170864e-05,6.93047744031996e-06,R. carbonatées
8,0.00014704351559540418,1.904651538253771e-07,6.06671824877109e-05,8.637633310769327e-05,0.0001720131190696598,1.288714032245622e-05,3.054899876170864e-05,1.5102117565378384e-06,R. carbonatées
9,0.00014653900730509574,6.838629875850859e-07,6.0349010302999306e-05,8.618999700209641e-05,0.0012837745759215233,1.8657546400652244e-05,3.054899876170864e-05,5.288420181590772e-06,R. carbonatées
10,0.00014650085918920907,8.493277820642901e-07,6.123599148786809e-05,8.526486770134098e-05,0.0009027866388436502,7.207717504240626e-06,1.5224301083957144e-05,4.6049306277092884e-06,R. carbonatées
